Distance_(pixels),Gray_Value
0,7.258
1,6.379
2,7.000
3,7.386
4,7.495
5,7.349
6,7.696
7,7.051
8,7.000
9,7.568
10,8.599
11,9.204
12,10.730
13,12.970
14,11.739
15,10.437
16,11.253
17,10.639
18,11.465
19,14.090
20,18.942
21,28.745
22,36.142
23,42.951
24,53.732
25,58.812
26,53.471
27,42.468
28,44.622
29,57.978
30,77.381
31,112.072
32,160.495
33,196.178
34,207.197
35,186.213
36,143.561
37,95.095
38,56.457
39,43.967
40,39.394
41,39.949
42,52.173
43,61.029
44,56.095
45,39.871
46,25.253
47,16.508
48,12.721
49,11.271
50,9.484
51,8.779
52,8.724
53,10.251
54,10.807
55,10.055
56,9.560
57,8.689
58,9.230
59,8.290
60,7.753
61,8.279
62,7.618
63,9.554
64,8.678
65,7.352
66,7.741
67,7.316
68,7.007
69,7.000
