Distance_(pixels),Gray_Value
0,1104.517
1,807.614
2,1477.550
3,1296.207
4,1152.525
5,1161.118
6,1459.082
7,1422.817
8,1651.550
9,1267.586
10,778.391
11,1227.010
12,1298.776
13,1273.895
14,1140.431
15,1333.081
16,1561.821
17,1469.123
18,1443.996
19,1874.556
20,1855.683
21,2540.032
22,2973.325
23,3734.977
24,4414.673
25,4692.028
26,5717.975
27,6174.958
28,7341.953
29,7750.307
30,8868.389
31,9321.715
32,11157.944
33,14836.954
34,17225.695
35,18198.385
36,17504.961
37,16165.713
38,16828.820
39,19649.438
40,24500.891
41,28786.871
42,32591.453
43,32990.434
44,29308.984
45,26737.512
46,27744.555
47,30988.520
48,37522.309
49,42563.199
50,43968.273
51,40840.180
52,36505.855
53,32003.465
54,32205.133
55,36788.602
56,44770.098
57,47089.004
58,45067.227
59,40577.477
60,34227.750
61,30911.381
62,31176.900
63,37515.270
64,41280.062
65,43321.434
66,37203.754
67,29903.936
68,24511.186
69,23187.496
70,25004.439
71,27995.527
72,28656.686
73,27591.316
74,23839.494
75,18908.166
76,16194.004
77,14717.263
78,15235.240
79,15359.467
80,14832.734
81,12613.143
82,9745.914
83,7698.215
84,6480.532
85,5709.398
86,5627.099
87,5466.453
88,4759.779
89,3817.471
90,3829.506
91,2585.465
92,1977.173
93,2027.429
94,1674.513
95,1360.396
96,1217.882
97,1562.693
98,971.276
99,1547.513
100,1084.373
101,1409.007
102,1354.926
103,957.938
104,797.314
105,535.510
106,782.052
107,1222.781
108,900.799
109,1023.596
110,727.996
111,1187.974
112,1247.300
113,1289.350
114,945.374
115,1275.176
116,687.696
