Distance_(pixels),Gray_Value
0,1944.710
1,1749.729
2,1904.822
3,1942.274
4,1908.270
5,2200.375
6,3231.863
7,3557.481
8,3774.368
9,4666.470
10,5695.131
11,6566.347
12,8135.172
13,10407.541
14,10888.871
15,12467.517
16,15005.528
17,19072.051
18,21350.139
19,21793.707
20,22054.564
21,25368.830
22,30216.625
23,31585.529
24,30481.791
25,30445.744
26,34437.699
27,38368.605
28,37293.957
29,33430.605
30,32561.180
31,35643.672
32,35792.719
33,31855.066
34,28038.988
35,27307.963
36,27647.221
37,25698.316
38,21535.221
39,18353.943
40,16188.882
41,16301.225
42,13676.393
43,9560.237
44,8473.279
45,8174.218
46,6435.886
47,5266.370
48,4597.800
49,3935.529
50,3012.250
51,2241.478
52,1957.477
53,1617.636
54,1548.974
55,1850.322
