Distance_(pixels),Gray_Value
0,1347.394
1,1980.952
2,2225.692
3,2993.866
4,3402.504
5,3680.486
6,4415.452
7,6025.045
8,8588.641
9,10774.654
10,11004.990
11,9317.527
12,8064.856
13,9476.881
14,14474.273
15,21391.633
16,24102.531
17,21120.674
18,15449.269
19,11716.694
20,14327.830
21,22371.570
22,30120.176
23,31152.938
24,24679.943
25,16514.398
26,12271.811
27,15063.375
28,21362.982
29,25085.252
30,23734.139
31,18231.369
32,11605.783
33,8883.740
34,9578.782
35,11593.606
36,12642.325
37,11285.417
38,8026.768
39,5223.246
40,3621.856
41,3648.752
42,3611.934
43,3236.802
44,2554.502
45,1838.848
46,1768.729
