Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,961.359
7,2001.853
8,3192.317
9,3377.765
10,2908.259
11,3059.345
12,3120.608
13,3629.542
14,3710.645
15,3538.258
16,3662.800
17,3821.016
18,3474.268
19,3799.122
20,3578.280
21,3847.276
22,4250.069
23,4561.707
24,4461.646
25,4897.939
26,5248.866
27,5531.021
28,6109.093
29,6846.199
30,6594.693
31,7442.005
32,7826.318
33,8549.736
34,8538.246
35,8725.590
36,9322.062
37,10729.514
38,11217.514
39,11095.168
40,11158.890
41,12324.056
42,13631.235
43,14739.523
44,14032.991
45,14193.304
46,15759.424
47,16909.246
48,17117.584
49,16784.562
50,17049.000
51,20086.217
52,20545.166
53,19762.490
54,19612.697
55,20991.938
56,23279.527
57,23130.361
58,21737.281
59,21896.029
60,24087.424
61,25637.271
62,24888.686
63,23504.682
64,24372.191
65,27296.953
66,27405.457
67,24952.951
68,24070.324
69,26253.447
70,28236.094
71,26696.527
72,24507.141
73,23870.773
74,26006.260
75,27906.480
76,25666.623
77,23685.828
78,24236.480
79,26064.588
80,25585.559
81,23034.051
82,21612.693
83,22929.543
84,23980.646
85,22812.645
86,19669.330
87,19405.035
88,21142.215
89,20861.373
90,18475.875
91,16547.541
92,16958.436
93,18371.051
94,17073.209
95,15030.074
96,14005.054
97,14154.811
98,14673.321
99,12982.891
100,11171.890
101,11395.003
102,11718.260
103,11092.914
104,9611.025
105,8179.672
106,8240.314
107,8133.635
108,7804.826
109,6691.365
110,6229.349
111,6125.989
112,6179.921
113,5250.211
114,4610.354
115,4684.585
116,4784.083
117,4305.974
118,4121.992
119,3389.419
120,2955.856
121,3020.846
122,2963.984
123,2630.550
124,2237.054
125,2248.975
126,2426.435
127,1974.150
128,2099.172
129,2121.708
130,1911.723
131,1677.219
132,1749.871
133,1952.533
134,1609.615
135,1372.724
136,1294.867
137,1527.424
138,1474.425
139,1254.072
140,1360.714
