Distance_(pixels),Gray_Value
0,1977.519
1,2153.086
2,2391.282
3,2777.749
4,3309.463
5,4071.109
6,5079.248
7,6303.322
8,7555.958
9,8482.975
10,8859.962
11,8938.233
12,9348.762
13,10741.861
14,13704.338
15,17901.109
16,22401.262
17,25248.371
18,25813.041
19,24070.250
20,21637.164
21,20962.998
22,23757.627
23,30122.592
24,37697.613
25,43285.270
26,44571.945
27,41293.371
28,35331.375
29,29871.174
30,28896.939
31,32829.750
32,40070.785
33,46081.332
34,48172.691
35,45243.008
36,38383.820
37,30920.172
38,26056.506
39,25815.072
40,28607.449
41,31887.508
42,33319.980
43,31970.369
44,28645.387
45,24452.980
46,20376.531
47,17528.033
48,15986.490
49,15445.056
50,14894.881
51,13608.787
52,11869.885
53,9964.719
54,8238.424
55,6881.757
56,5936.657
57,5116.347
58,4425.323
59,3760.382
60,3205.832
61,2798.238
62,2512.551
63,2318.152
64,2106.266
65,1904.037
66,1783.417
67,1703.292
