Index;BETELGEUSE ( 15 de marzo);Imax;Imin_1;Imin_2;Imin;V1 (2);Imax;Imin_1;Imin_2;Imin;V2 (5);Imax;Imin_1;Imin_2;Imin;V3 (10);Imax;Imin_1;Imin_2;Imin;V4 (3px);Imax;Imin_1;Imin_2;Imin;V5 (7px);Imax;Imin_1;Imin_2;Imin;V6 (9px);Imax;Imin_1;Imin_2;Imin;V7 (5px);Imax;Imin_1;Imin_2;Imin;V8(3px);Imax;Imin_1;Imin_2;Imin;V9(7px;V_media;S
8;8Betelgeuse0012 Bx3 Halfa35nm INT-C-50mm_F_D51mm-L147mm(C)  1s19s Gmax 17-03-15 21-41-53;61762.36;13662.81;12777.25;13220.03;0.647383072;61451.39;13667.25;13483.11;13575.18;0.638123401;60433.61;14513.32;14704.39;14608.855;0.610650983;60547;14068;12771;13419.5;0.637146546;61830;15448;13280;14364;0.622962438;59890;12920;12479;12699.5;0.65010091;60447;14485;12472;13478.5;0.635349101;63392;14026;14033;14029.5;0.637581292;55246;13204;13360;13282;0.61236283;0.63240673;0.01410771
10;10Betelgeuse0016 Bx3 Halfa35nm INT-L-30mm_B_D30mm-L238mm  0.3s Gmax17-03-15 22-01-11;55379.45;30527.78;30643.24;30585.51;0.288419142;54929.4;31300.61;31139.59;31220.1;0.275211116;53444.55;31593.23;30567.22;31080.225;0.264588992;56542;27841;29359;28600;0.328181156;55714;27650;28992;28321;0.325971321;55464;27617;28898;28257.5;0.324964316;55118;29844;32765;31304.5;0.275547456;56147;30357;30723;30540;0.29539608;40450;23219;22646;22932.5;0.276377549;0.294961903;0.025107644
11;11Betelgeuse0017 Bx3 Halfa35nm INT-C-30mm_B_D30mm-L133mm(C)  0.3s Gmax 17-03-15 22-05-53;49453.95;33419.08;30651.19;32035.135;0.213756419;49867.86;32287.32;31144.77;31716.045;0.222492598;47808.84;31527.45;30502.05;31014.75;0.213059187;50865;32549;30124;31336.5;0.237568658;49271;31813;30676;31244.5;0.223888568;48555;31542;30383;30962.5;0.221240607;47710;31578;30917;31247.5;0.208498243;48746;32781;30309;31545;0.214233227;42242;27796;26551;27173.5;0.217076878;0.219090487;0.008553755
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#¡DIV/0!;#¡DIV/0!
;RIGEL (15 de marzo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#¡DIV/0!;#¡DIV/0!
4;4Rigel0002 Bx3 Halfa7nm Inter E_D50mm-L222mm_0.424s Gmax 17-03-15 20-38-22;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
6;6Rigel0008 Bx3 Halfa35nm INT-C-50mm _ F_D51mm-L147mm(C)  1s19s Gmax 17-03-15 21-14-55;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
7;7Rigel0009 Bx3 Halfa35nm INT-L-50mm_E_D51mm-L222mm(L) 1s8s Gmax 17-03-15 21-19-47;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
13;13Rigel0004 Bx3 Halfa35nm C51mm 1s13s Gmax 17-03-23 20-46-30   23 de marzo;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
4;4Rigel0002 Bx3 Halfa7nm Inter E_D50mm-L222mm_0.424s Gmax 17-03-15 20-38-22            ??;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#¡DIV/0!;#¡DIV/0!
;SIRIO  (10 de marzo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#¡DIV/0!;#¡DIV/0!
1;1Sirio0005 Bx3 Halfa 7 nm Inter1_I_D22mm-L220mm_2.4s Gmax 17-03-10 20-48-51;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
2;2Sirio0007 Bx3 Halfa 7 nm Inter2_H_D22mm-L158mm_2.4s Gmax 17-03-10 20-54-18;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
3;3Sirio0011 Bx3 Halfa 7 nm InterG1_G_D61mm-L178mm_ l 1s13s Gmax17-03-10 21-05-53_g3_b3_ap6_Drizzle15;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
;SIRIO  (23 de marzo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#¡DIV/0!;#¡DIV/0!
